,country,ctyname,ptyid,ptyname,CPARTY,valueinf,routinization,polar,enpp,subsid,execoff,legisoff,formation,group,page,zpolar,zenpp,zsubsid,zexecoff,zlegisoff,zformation,zgroup,zpage,formal,informal,loyalty,formal_uncertain,inform_uncertain,value_uncertain,dependency,dominant,experience,president,coalition,gdppc,regime,volat,seatshare_t2,president_t2,partyinst_t1,routinization_t1,valueinf_t1,seatshare_t1,incumbent_t2
54,20,MEX,2001,Partido Revolucionario Institucional,MEX_ Coalición PRI-PVEM ,0.888888896,0.947368443,5.271096706,3.044802027,3.465735912,3.218431234,20.6,0.800000012,0.894736826,4.127134323,0.438647926,-0.754889011,1.199089527,1.99329114,0.095361933,1.410727978,2.452898264,0.899042547,0.947368443,0.947368443,0.888888896,0.029434051,0.037158672,0.04802921,0.944444418,1,26.45277778,23.98888889,1.242391944,7834.073299,11,17.68,21.2,1,0.918128669,0.947368443,0.888888896,20.60000038,0
58,20,MEX,2005,Convergencia (Movimiento Ciudadano),MEX_ Movimiento Ciudadano,0.433333337,0.354166687,5.271096706,3.044802027,2.397895336,0,3.2,0.140000001,0.157894731,2.302585125,0.438647926,-0.754889011,0.351946652,-0.886204123,-0.998398483,-0.804332256,-0.415545493,-0.636810899,0.416666687,0.291666657,0.433333337,0.08703883,0.077628411,0.128833532,1,0,0,0,0,7834.073299,11,17.68,3.6,0,0.393750012,0.354166687,0.433333337,3.200000048,0
55,20,MEX,2002,Partido Accion  Nacional,MEX_ Partido Accion Nacional,0.851851881,0.837719321,5.271096706,3.044802027,3.465735912,2.206135273,41.2,0.800000012,0.105263159,4.234106541,0.438647926,-0.754889011,1.199089527,1.087600946,1.39027369,1.410727978,-0.620434284,0.989088714,0.833333373,0.842105269,0.851851881,0.041594516,0.056281801,0.049776293,0.888888896,0,8.197222222,8.080555556,0.110348061,7834.073299,11,17.68,41.2,0,0.844785571,0.837719321,0.851851881,41.20000076,1
56,20,MEX,2003,Partido de la Revolucionario Democratica,MEX_ Partido de la Revolucion Democrática,0.777777791,0.779727101,5.271096706,3.044802027,2.995732307,0,25.4,0.5,0.157894731,2.944438934,0.438647926,-0.754889011,0.826224685,-0.886204123,0.397088885,0.403882384,-0.415545493,-0.096516691,0.796296299,0.763157904,0.777777791,0.040554486,0.060456354,0.04802921,0.944444418,0,0,0,0,7834.073299,11,17.68,25,0,0.778752446,0.779727101,0.777777791,25.39999962,0
61,21,NIC,2103,Partido Liberal Constitucionalista,NIC_ Liberal Constitutionalist Party,0.843137264,0.833333313,5.520090103,2.467188068,0,1.974466801,27.17391304,0.899999976,0.277777791,3.68887949,0.520502567,-1.074019074,-1.550359607,0.880329728,0.508596778,1.746343017,0.051145818,0.530132115,0.833333313,0.833333313,0.843137264,0.063536674,0.072043821,0.059785835,0.533333361,0,8.288888889,6.202777778,1.126911759,1145.783734,18,13.18373072,2.173913043,0,0.838235259,0.833333313,0.843137264,27.17391396,0
60,21,NIC,2102,Frente Sandinista de Liberacion Nacional,NIC_ Sandinista National Liberation Front,0.980392158,0.907407403,5.520090103,2.467188068,0,1.090244055,41.30434783,0.899999976,0.555555582,3.850147486,0.520502567,-1.074019074,-1.550359607,0.089225292,1.396832943,1.746343017,1.132503629,0.665882945,0.870370388,0.944444418,0.980392158,0.068705216,0.039215684,0.020211302,0.65625,1,8.297222222,1.975,1.990913868,1145.783734,18,13.18373072,68.47826087,1,0.943899751,0.907407403,0.980392158,41.30434799,1
66,22,PAN,2205,Partido Cambio Democratico,PAN_ Democratic Change,0.541666687,0.447916687,0.432909697,3.183726654,2.397895336,0,3.846153846,0.050000001,0.125,2.302585125,-1.15186882,-0.678133488,0.351946652,-0.886204123,-0.957781374,-1.106385946,-0.543600976,-0.636810899,0.458333343,0.4375,0.541666687,0.093738191,0.121113032,0.164095819,0.428571433,0,5.075,0,1.804181933,4599.849256,19,19.54486176,19.71830986,1,0.494791687,0.447916687,0.541666687,3.846153736,0
62,22,PAN,2201,Partido Revolucionario Democratico,PAN_ Democratic Revolutionary Party,1,0.895833373,0.432909697,3.183726654,2.484906673,2.335374832,52.56410256,0.779999971,0.5,3.367295742,-1.15186882,-0.678133488,0.420974761,1.203230143,2.104618788,1.343604803,0.91623199,0.259432107,0.916666687,0.875,1,0.058321182,0.087481774,0,0.785714269,0,9.466666667,9.333333333,0.125163138,4599.849256,19,19.54486176,36.61971831,0,0.947916687,0.895833373,1,52.56410217,1
64,22,PAN,2203,Partido Molirena,PAN_ Liberal Republican Nationalist Movement,0.791666687,0.427083343,0.432909697,3.183726654,2.484906673,0,5.128205128,0.779999971,0.375,3.258096457,-1.15186882,-0.678133488,0.420974761,-0.886204123,-0.877191901,1.343604803,0.429620981,0.167511269,0.416666687,0.4375,0.791666687,0.130410135,0.121113032,0.115420952,0.5,0,9.808333333,0,2.38031745,4599.849256,19,19.54486176,2.816901408,0,0.609375,0.427083343,0.791666687,5.128205299,0
63,22,PAN,2202,Partido Panamenista (Arnulfista),PAN_ Panemeñista Party,1,0.78125,0.432909697,3.183726654,2.484906673,2.367123604,21.79487179,0.649999976,0.5,4.330733299,-1.15186882,-0.678133488,0.420974761,1.231635451,0.170471326,0.907305062,0.91623199,1.070426345,0.75,0.8125,1,0.089087076,0.097807594,0,0.857142866,0,9.808333333,9.666666667,0.13248919,4599.849256,19,19.54486176,30.98591549,0,0.890625,0.78125,1,21.79487228,0
